Similarity,comp1100,comp1110
0.9361,"Apply basic algorithmic analysis to simple algorithms; use appropriate algorithmic approaches to solve problems (brute-force, divide-and-conquer, recursive backtracking, heuristic).","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9366,"Apply basic algorithmic analysis to simple algorithms; use appropriate algorithmic approaches to solve problems (brute-force, divide-and-conquer, recursive backtracking, heuristic).","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9529,"Apply basic algorithmic analysis to simple algorithms; use appropriate algorithmic approaches to solve problems (brute-force, divide-and-conquer, recursive backtracking, heuristic).","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9922,"Apply basic algorithmic analysis to simple algorithms; use appropriate algorithmic approaches to solve problems (brute-force, divide-and-conquer, recursive backtracking, heuristic).","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8790,"Understand the basics of event-driven programming, and its use in constructing GUIs","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.8927,"Understand the basics of event-driven programming, and its use in constructing GUIs","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8939,"Understand the basics of event-driven programming, and its use in constructing GUIs",This course is the first of three core computer science courses on programming.
0.8941,"Understand the basics of event-driven programming, and its use in constructing GUIs","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8979,"Understand the basics of event-driven programming, and its use in constructing GUIs",These include distributed software revision control systems.
0.8992,"Understand the basics of event-driven programming, and its use in constructing GUIs","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9009,"Understand the basics of event-driven programming, and its use in constructing GUIs",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9053,"Understand the basics of event-driven programming, and its use in constructing GUIs",Understand the legal context for protection of software as intellectual property.
0.9056,"Understand the basics of event-driven programming, and its use in constructing GUIs","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9100,"Understand the basics of event-driven programming, and its use in constructing GUIs","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9157,"Understand the basics of event-driven programming, and its use in constructing GUIs","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.9196,"Understand the basics of event-driven programming, and its use in constructing GUIs","Describe, understand and evolve programs, via documentation, testing, and debugging."
0.9197,"Understand the basics of event-driven programming, and its use in constructing GUIs",Describe and apply alternative computational paradigms to simple problems.
0.9235,"Understand the basics of event-driven programming, and its use in constructing GUIs","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.9240,"Understand the basics of event-driven programming, and its use in constructing GUIs",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9282,"Understand the basics of event-driven programming, and its use in constructing GUIs",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9305,"Understand the basics of event-driven programming, and its use in constructing GUIs","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9314,"Understand the basics of event-driven programming, and its use in constructing GUIs",Understand basic types and the benefits of static typing.
0.9369,"Understand the basics of event-driven programming, and its use in constructing GUIs","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9394,"Understand the basics of event-driven programming, and its use in constructing GUIs","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.8725,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",This course is the first of three core computer science courses on programming.
0.8797,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Distinguish language definition from implementation, syntax and parsing from semantics and evaluation."
0.8856,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Data structures and algorithms, the key concepts at the core of computer science, receive their first treatment in this course. The course addresses both functional and imperative programming paradigms."
0.8866,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",Understand the legal context for protection of software as intellectual property.
0.8875,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Discuss basic algorithmic analysis for simple algorithms; determine appropriate algorithmic approaches to a problem (brute-force, greedy, divide-and-conquer, recursive backtracking, heuristic, dynamic programming)."
0.8890,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Students learn the organization of programming languages using types, how programs are evaluated (reduction), functional composition, recursive functions, algebraic data types, pattern matching, parametric polymorphism, higher-order functions."
0.8932,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Students learn the basic ingredients of imperative programs: mutable variables, sequencing, conditionals, iteration, functions, eager evaluation, and side effects."
0.9004,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",These include distributed software revision control systems.
0.9009,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","The Advanced version of this course covers these topics in more depth, allowing students to deepen their understanding and experience."
0.9039,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",The functional paradigm demonstrates elegant solutions to many programming problems.
0.9047,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Apply fundamental programming concepts, using a functional programming language, to solve simple problems."
0.9060,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","The course also introduces imperative programming as an alternative paradigm to functional programming, highlighting similarities and contrasting differences."
0.9071,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","The course covers functional programming in depth, developing the core idea of functions operating on data structures."
0.9076,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Discuss, use, and apply the fundamentals of data structures, algorithms, and design; create, implement, and debug algorithms for solving simple problems, including recursively, using divide-and-conquer, and via decomposition."
0.9107,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",Understand basic types and the benefits of static typing.
0.9107,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",It introduces students to the field of computer science as a discipline for solving problems through computation and provides the foundation for more advanced courses on programming and software development.
0.9189,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",The course also introduces students to standard productivity tools for software development that will be used throughout the course and remainder of the computer science degree.
0.9237,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Students also gain exposure to structural induction and proof, introduction to asymptotic analysis of basic data structures, abstract data types, modules, laziness, and streams."
0.9329,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.",Describe and apply alternative computational paradigms to simple problems.
0.9350,"Deliver and evaluate basic technical documents, presentations, and group interactions, using appropriate tools.","Describe, understand and evolve programs, via documentation, testing, and debugging."
